# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,tipo,cod_id,poste,idx,bus,fases_ligadas,tip_cc,classe,curva,curva_origem,fas_con,car_inst_kw,kw_pico,kvar_pico,kv,clas_sub,classe_consumo,tip_edificacao,gru_tar,gru_ten,ten_forn,cnae,cep,are_loc,mun,uni_tr_mt,ceg_gd,ene_01,ene_02,ene_03,ene_04,ene_05,ene_06,ene_07,ene_08,ene_09,ene_10,ene_11,ene_12
ucbt_res_1835584_2,unidade consumidora BT,10d6b94ec0b72c360f94570e421223ebfa7b5c99bc23c3fead789e1786370190,1835584,2,BT_1694168,123,RES-Tipo9,RES,RES_Tipo9,catalogo,ABCN,29.0000,0.7325,0.1487,0.3800,,,,,BT,10,,,UB,4218707,7449457,,241.56,212.85,152.292,144.095,142.45,148.8,184.191,191.475,106.193,240.1476,237.805,220.268
ucbt_res_1835584_3,unidade consumidora BT,02103adbdadbfeb6950851cc5d70007f58c9dd3e550d1efcde14396e15662ff6,1835584,3,BT_1694168,1,RES-Tipo1,RES,RES_Tipo1,catalogo,AN,8.0000,0.1388,0.0282,0.2194,,,,,BT,10,,,UB,4218707,7449457,,88.11,91.08,107.744,74.285,44.4,29.76,38.073,39.33,40.209,41.584,48.755,63.379
ucbt_res_1835587_0,unidade consumidora BT,f7d76672b5fcaa06ca5feac2496c2fbed62deaf8c612c1e05cf818b3ee7c56e5,1835587,0,BT_1652210,1,RES-Tipo6,RES,RES_Tipo6,catalogo,AN,8.0000,0.4103,0.0833,0.2194,,,,,BT,10,,,UB,4218707,7449457,,264.33,313.83,244.496,198.69,158.175,152.64,154.35,160.425,171.146,172.5736,182.085,203.644
ucbt_ind_1835591_0,unidade consumidora BT,95139d388bb7da577742968087f5053ef98a329288813c5f6d22c5686979f9d3,1835591,0,BT_2725791,123,IND-Tipo6,IND,IND_Tipo6,catalogo,ABCN,8.0000,1.3125,0.5591,0.3800,,,,,BT,10,,,UB,4218707,7483569,,922.68,815.76,997.668,954.965,820.475,724.8,865.389,828.0,825.831,847.274,881.57,827.044
ucbt_com_1835591_1,unidade consumidora BT,ce072897d3048a1a43a6e5a5828a83b0e0a3496e8aa6424f852a2290cd69b200,1835591,1,BT_2725791,1,COM-Tipo3,COM,COM_Tipo3,catalogo,AN,8.0000,2.0122,0.5869,0.2194,,,,,BT,10,,,UB,4218707,7483569,,0.0,0.0,0.0,0.0,770.525,715.2,808.794,799.02,734.072,788.0168,763.165,676.389
ucbt_com_1835591_2,unidade consumidora BT,ce072897d3048a1a43a6e5a5828a83b0e0a3496e8aa6424f852a2290cd69b200,1835591,2,BT_2725791,1,COM-Tipo3,COM,COM_Tipo3,catalogo,AN,8.0000,1.9788,0.5771,0.2194,,,,,BT,10,,,UB,4218707,7483569,,726.66,749.43,778.036,723.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_com_1835593_0,unidade consumidora BT,39b67cf374a7144c69fa6466f7a1590d1475db2c887383ba7403bcb6ef039bfe,1835593,0,BT_1655576,123,COM-Tipo7,COM,COM_Tipo7,catalogo,ABCN,8.0000,4.2415,1.2371,0.3800,,,,,BT,10,,,UB,4218707,7449833,GD.SC.000.158.431,0.0,0.0,0.0,0.0,1939.725,1406.4,1426.194,1624.95,1685.685,2058.408,2369.095,2561.135
ucbt_com_1835593_1,unidade consumidora BT,39b67cf374a7144c69fa6466f7a1590d1475db2c887383ba7403bcb6ef039bfe,1835593,1,BT_1655576,123,COM-Tipo7,COM,COM_Tipo7,catalogo,ABCN,8.0000,5.8269,1.6995,0.3800,,,,,BT,10,,,UB,4218707,7449833,GD.SC.000.158.431,2471.04,2745.27,2878.008,2258.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_res_1850631_0,unidade consumidora BT,9d1ddad92c87ca9ec2546c9c37b773aa1aeded6fdefbe2e4bdb52730c2383bc0,1850631,0,BT_1727690,2,RES-Tipo9,RES,RES_Tipo9,catalogo,BN,8.0000,0.6848,0.1391,0.2194,,,,,BT,10,,,UB,4218707,7449457,,307.89,329.67,244.496,200.48,140.6,119.04,97.755,121.095,119.596,139.3064,123.38,134.031
ucbt_res_1850631_1,unidade consumidora BT,8dda7c79ad7807ffa4306b8727add4dfe2dbdffaedf533685b7088436ed6b557,1850631,1,BT_1727690,1,RES-Tipo4,RES,RES_Tipo4,catalogo,AN,14.0000,0.3478,0.0706,0.2194,,,,,BT,10,,,UB,4218707,7449457,,298.98,289.08,288.008,209.43,204.425,195.84,276.801,209.07,202.076,220.3952,226.86,251.438
ucbt_res_1850633_0,unidade consumidora BT,1312ffd22d1b3fc4ec4a6ac6a54a924458d343593f4bf7977a41c489d9c51818,1850633,0,BT_1727691,2,RES-Tipo9,RES,RES_Tipo9,catalogo,BN,8.0000,0.6499,0.1320,0.2194,,,,,BT,10,,,UB,4218707,7449457,,0.0,0.0,0.0,0.0,124.875,120.96,181.104,180.09,180.425,173.6132,188.055,165.201
ucbt_res_1850633_1,unidade consumidora BT,1312ffd22d1b3fc4ec4a6ac6a54a924458d343593f4bf7977a41c489d9c51818,1850633,1,BT_1727691,2,RES-Tipo9,RES,RES_Tipo9,catalogo,BN,8.0000,0.4454,0.0904,0.2194,,,,,BT,10,,,UB,4218707,7449457,,103.95,104.94,130.536,110.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_res_1850636_0,unidade consumidora BT,2a3c8660ade860ad9c3557c30d2f2baa99061abed8e0ad25095970ede2588a5c,1850636,0,BT_1727695,3,RES-Tipo2,RES,RES_Tipo2,catalogo,CN,8.0000,1.7566,0.3567,0.2194,,,,,BT,10,,,UB,4218707,7449457,,580.14,594.99,659.932,289.085,536.5,444.48,408.513,476.1,447.454,550.988,473.62,271.179
ucbt_res_1850636_1,unidade consumidora BT,acadb38dfab3e8373126332f8bdffb0fbd89e3c73d83272c41e55d9cc79c3126,1850636,1,BT_1727695,1,RES-Tipo3,RES,RES_Tipo3,catalogo,AN,12.0000,0.3501,0.0711,0.2194,,,,,BT,10,,,UB,4218707,7449457,,190.08,170.28,189.588,142.305,126.725,114.24,130.683,123.165,110.317,158.0192,196.015,161.045
