# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,cod_id,familia,bus1,bus2,comp_m,fases,fas_con,tip_inst,tip_cnd,linecode,uni_tr_mt,p_n_ope,ligada_no_caso,pot_kvar,pot_kva,tip_unid,tip_regu,ten_reg,rel_tp,rel_tc,cor_nom,banc,mun
sw_12646929,12646929,chave MT,SE_6034744,1655573,,3,ABC,,,,,A,nao,,,,,,,,,,
sw_12646845,12646845,chave MT,SE_6034379,SE_6034570,,3,ABC,,,,,F,sim,,,,,,,,,,
bt_8688936,8688936,cabo BT,BT_1652208,BT_2735313,5.2686,3,ABCN,RD_AER_URB,BT-149-149-149-149-4,CND_BT-149-149-149-149-4,7449457,,,,,,,,,,,,
bt_9125657,9125657,cabo BT,BT_2735313,BT_1727690,25.8084,3,ABCN,RD_AER_URB,BT-32-32-32-32-7,CND_BT-32-32-32-32-7,7449457,,,,,,,,,,,,
bt_9169039,9169039,cabo BT,BT_1685992,BT_1685990,20.9923,3,ABCN,RD_AER_URB,BT-34-34-34-34-7,CND_BT-34-34-34-34-7,7483569,,,,,,,,,,,,
bt_8928849,8928849,cabo BT,BT_1652208,BT_1652212,35.0056,3,ABCN,RD_AER_URB,BT-3-3-3-3-7,CND_BT-3-3-3-3-7,7449457,,,,,,,,,,,,
bt_8928828,8928828,cabo BT,BT_1652209,BT_1652208,40.5012,3,ABCN,RD_AER_URB,BT-7-7-7-3-7,CND_BT-7-7-7-3-7,7449457,,,,,,,,,,,,
bt_8928834,8928834,cabo BT,BT_1694168,BT_1652209,37.7167,3,ABCN,RD_AER_URB,BT-7-7-7-3-7,CND_BT-7-7-7-3-7,7449457,,,,,,,,,,,,
bt_8928841,8928841,cabo BT,BT_1694168,BT_1652211,36.3603,3,ABCN,RD_AER_URB,BT-7-7-7-3-7,CND_BT-7-7-7-3-7,7449457,,,,,,,,,,,,
bt_9141602,9141602,cabo BT,BT_1652211,BT_1652210,32.3733,3,ABCN,RD_AER_URB,BT-7-7-7-3-7,CND_BT-7-7-7-3-7,7449457,,,,,,,,,,,,
bt_9203850,9203850,cabo BT,BT_1652211,BT_1727695,2.6409,3,ABCN,RD_AER_URB,BT-61-61-61-61-4,CND_BT-61-61-61-61-4,7449457,,,,,,,,,,,,
bt_9047372,9047372,cabo BT,BT_2725791,BT_1685991,34.7198,3,ABCN,RD_AER_URB,BT-34-34-34-34-7,CND_BT-34-34-34-34-7,7483569,,,,,,,,,,,,
bt_9165835,9165835,cabo BT,BT_1685991,BT_1685992,41.2045,3,ABCN,RD_AER_URB,BT-34-34-34-34-7,CND_BT-34-34-34-34-7,7483569,,,,,,,,,,,,
